,Consumer Discretionary,Consumer Staples,Energy,Financials ,Health Care,Industrials,Information Technology,Materials,Communication Services,Utilities
2008-03-31,2.03,3.71,12.09,-0.81,5.58,4.94,4.16,4.27,1.89,3.32
2008-06-30,-3.28,3.53,13.12,-2.53,5.71,5.53,4.82,4.52,2.2,2.82
2008-09-30,-1.18,4.49,19.7,-10.71,5.18,5.22,3.82,2.95,1.93,3.78
2008-12-31,-11.28,2.51,-9.76,-23.91,2.62,1.93,0.02,-11.16,0.99,1.69
2009-03-31,0.45,3.48,-0.27,-0.25,5.89,2.45,1.53,0.82,1.78,2.37
2009-06-30,3.14,4.33,4.2,1.95,6.09,3.28,2.99,1.18,1.8,2.4
2009-09-30,3.11,4.46,5.89,1.18,6.73,2.88,4.29,2.41,1.6,3.47
2009-12-31,3.79,4.28,6.19,-0.27,6.9,3.94,6.26,1.47,0.67,4.12
2010-03-31,3.81,3.99,8.27,3.49,5.41,3.32,5.39,2.69,0.92,3.04
2010-06-30,4.36,4.64,9.74,3.44,6.17,4.48,5.83,3.24,1.36,2.84
2010-09-30,3.95,4.5,8.5,2.4,5.62,4.58,6.58,4.0,4.34,3.09
2010-12-31,4.54,5.96,9.03,3.44,5.26,4.71,7.76,2.83,1.11,2.07
2011-03-31,4.4,4.71,10.72,3.6,6.53,4.61,6.93,4.66,1.79,2.83
2011-06-30,5.02,5.08,12.53,2.48,7.11,5.36,7.29,5.06,1.71,3.14
2011-09-30,4.76,4.97,11.89,4.32,6.39,5.12,6.24,3.89,1.79,3.74
2011-12-31,8.18,4.26,9.65,3.68,5.28,5.08,8.6,0.94,-3.43,1.44
2012-03-31,4.73,4.62,11.71,3.97,7.19,5.39,7.81,3.83,1.74,2.33
2012-06-30,4.79,5.16,13.38,4.14,5.48,5.96,4.31,4.13,1.74,2.47
2012-09-30,5.49,5.26,9.8,3.73,6.71,5.15,5.95,2.04,1.88,2.72
2012-12-31,6.21,5.91,9.59,3.72,5.71,3.97,9.17,1.18,-3.42,1.61
2013-03-31,5.63,5.04,10.76,4.71,7.06,5.47,7.92,4.15,2.06,2.01
2013-06-30,5.96,5.56,11.71,5.28,6.96,5.72,7.16,3.51,1.85,2.03
2013-09-30,5.92,6.42,10.11,4.27,7.05,6.16,7.96,2.1,2.11,3.73
2013-12-31,6.79,5.67,9.24,4.67,6.36,8.03,9.36,1.63,5.06,1.99
2014-03-31,5.8,4.95,9.98,4.88,7.47,5.5,7.81,4.3,3.27,2.62
2014-06-30,6.37,5.75,11.41,5.15,8.6,6.69,8.1,4.27,3.01,2.44
2014-09-30,6.56,5.49,11.69,4.98,7.47,6.72,9.23,3.42,2.62,4.27
2014-12-31,8.36,4.81,2.15,4.09,8.09,6.45,10.96,1.11,-2.22,2.17
2015-03-31,5.89,5.02,-1.8,5.97,7.82,2.55,8.66,2.87,2.8,3.67
2015-06-30,6.89,5.49,-1.5,5.69,8.38,6.46,6.59,3.31,2.74,2.81
2015-09-30,7.28,6.96,-6.01,5.65,8.0,7.64,8.44,0.8,2.49,3.45
2015-12-31,8.68,5.03,-14.21,4.6,7.08,6.19,10.17,0.01,4.21,-0.96
2016-03-31,7.01,5.69,-4.98,5.28,9.92,5.12,7.53,1.07,2.81,3.21
2016-06-30,7.74,6.08,-4.98,5.38,9.61,6.93,8.08,4.95,1.49,2.0
2016-09-30,7.14,6.0,-0.16,6.8,8.34,7.13,8.69,2.59,2.44,4.1
2016-12-31,7.16,8.51,-2.42,5.54,6.92,5.78,12.54,1.65,2.41,-1.12
2017-03-31,7.78,5.35,4.25,6.62,10.35,5.75,9.48,4.09,2.46,3.97
2017-06-30,8.13,6.01,0.61,6.65,9.79,7.47,9.72,4.39,2.9,1.98
2017-09-30,7.95,6.48,3.51,6.07,8.02,7.79,11.64,3.45,2.38,4.33
2017-12-31,13.75,7.57,9.55,5.75,1.02,5.18,2.91,3.65,13.66,1.74
2018-03-31,7.81,6.8,5.38,7.83,10.46,7.49,13.08,4.47,3.26,5.38
2018-06-30,9.71,5.99,6.06,8.89,8.31,9.03,13.73,5.7,3.31,1.84
2018-09-30,7.88,7.7,8.67,9.83,12.33,2.77,15.83,4.35,2.08,4.63
2018-12-31,7.48,5.25,7.53,4.24,6.46,7.58,15.98,4.71,2.34,-1.11
2019-03-31,8.73,6.49,3.69,10.94,11.44,7.84,13.6,3.1,1.68,3.88
2019-06-30,9.54,3.99,3.45,10.28,12.96,6.88,14.92,2.83,1.92,3.03
2019-09-30,9.74,5.69,0.79,9.92,9.88,8.21,13.89,4.5,1.84,4.84
2019-12-31,8.84,5.8,-2.7,11.59,12.53,6.51,17.9,0.85,2.09,4.04
2020-03-31,0.18,6.88,-24.26,-1.31,12.48,5.99,12.2,2.01,1.59,2.58
2020-06-30,3.12,5.58,-10.77,4.95,11.26,-0.61,14.33,1.42,1.02,2.13
2020-09-30,9.59,7.4,-3.41,11.65,11.24,3.13,15.96,2.3,1.95,4.05
2020-12-31,6.47,6.07,-9.24,13.91,5.99,2.79,22.6,5.63,1.25,2.31
2021-03-31,9.63,6.99,2.73,14.64,17.43,7.39,20.32,5.54,3.01,4.14
2021-06-30,10.96,7.74,5.07,15.89,15.14,8.78,21.1,8.0,2.81,2.32
2021-09-30,10.13,6.91,8.96,12.07,19.27,8.87,24.65,7.18,2.99,3.58
2021-12-31,14.25,8.38,12.24,16.09,16.1,6.51,25.87,6.95,3.01,2.74
2022-03-31,4.04,8.83,13.42,10.58,17.24,6.86,24.09,8.31,2.61,4.12
2022-06-30,8.15,7.14,25.25,3.15,16.89,9.17,19.98,8.84,2.3,2.92
2022-09-30,8.87,6.19,25.29,7.82,13.74,10.25,19.61,5.76,1.68,4.63
2022-12-31,8.31,6.3,18.12,10.49,15.24,10.2,18.05,5.39,0.15,1.83
